Phage Name,Zipcode,Population Density,County,Year Found,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H,GC%,Temperate?,Genome Length(bp),Accession #
Abba,90024,16154.0,Los Angeles County,2019.0,7.966310096153876,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.067996,-118.450765,42.0,10.0,45.0,3.6,44.0,29.0,65.0,FALSE,46623,MT024868
AbbeyMikolon,18766,,Luzerne County,2013.0,7.918820010875497,"Stable, normal stage",161.1986301369863,5.206050228310502,0.21419178082192605,41.244625,-75.88789,35.0,8.4,37.0,3.0,37.0,24.0,66.8,TRUE,42551,MG593800
AbbysRanger,42539,47.0,Casey County,,,,179.7229452054794,8.31986301369863,0.1678630136986592,37.39757,-85.01984,47.0,11.2,50.0,4.1,49.0,32.0,63.7,TRUE,51281,MN284905
Abdiel,63143,4910.0,Saint Louis County,2011.0,7.905922506065358,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.643888,-90.311944,38.0,9.1,41.0,3.3,40.0,26.0,63.9,TRUE,51381,KY083058
Abidatro,07043,4671.0,Essex County,2015.0,7.8498127909825985,,171.08047945205482,6.804680365296804,0.1824931506849266,40.862,-74.1987,42.0,10.0,45.0,3.6,44.0,29.0,68.5,TRUE,39122,MF140397
Abinghost,20646,229.0,Charles County,2018.0,7.8498127909825985,,183.87340182648398,8.588470319634705,0.15605479452053705,38.5514,-77.0112,47.0,11.2,50.0,4.1,49.0,32.0,67.6,FALSE,68634,MN444873
Abrogate,54022,159.0,Pierce County,2011.0,7.827595733664693,,162.46746575342462,2.057990867579909,0.3163013698630409,44.853317,-92.616408,21.0,5.0,22.0,1.8,22.0,14.0,63.8,TRUE,52530,KM597531
AbsoluteMadLad,59855,1326.0,Lake County,2018.0,7.832724321012857,,152.4030821917808,0.2541095890410959,0.3811506849314715,47.5916,-114.1112,37.0,8.8,39.0,3.2,39.0,25.0,66.5,FALSE,68803,MN096366
Abt2graduatex2,21228,3070.0,Baltimore County,2016.0,7.836801939897794,,180.49235159817349,7.419178082191781,0.17175342465754556,39.257815,-76.706519,34.0,8.1,36.0,2.9,36.0,23.0,69.2,FALSE,57385,MF975638
Acadian,70503,2346.0,Lafayette Parish,2007.0,7.831058056872027,Not applicable,203.01541095890408,15.767808219178082,0.14958904109590185,30.213741,-92.017924,10.0,2.4,10.0,0.8,10.0,7.0,68.4,FALSE,69864,JN699007
Achebe,,,Warren County,,,,181.31529680365296,9.667157534246572,0.16150684931508502,36.98543,-86.44900600000003,44.0,10.5,47.0,3.8,46.0,30.0,63.7,TRUE,51433,KY083059
Acme,04469,11187.0,Penobscot County,2015.0,7.8302763998340765,,158.55593607305937,3.4551369863013703,0.3524383561643947,44.900917,-68.668778,25.0,6.0,27.0,2.2,26.0,17.0,63.5,TRUE,51793,MG812486
Acolyte,06493,,Hancock County,2017.0,7.821160748125548,,163.2658675799087,4.321118721461187,0.30819178082188103,44.374232,-68.07,33.0,7.9,35.0,2.9,34.0,23.0,63.3,TRUE,52668,MH509441
Acquire49,40744,174.0,Laurel County,2016.0,7.813027547076706,Not determined,176.6529680365297,8.161872146118721,0.18260273972606586,37.08277800000001,-84.101389,48.0,11.5,51.0,4.2,50.0,33.0,58.7,TRUE,73639,MK279905
ActinUp,15601,690.0,Westmoreland County,2016.0,7.810526964560846,"Stable, normal stage",166.1246575342466,6.005365296803652,0.2430410958904581,40.310755,-79.559596,36.0,8.6,38.0,3.1,38.0,25.0,66.6,TRUE,59812,MH051246
Adahisdi,28788,,Jackson County,2015.0,7.806250126807188,,190.76586757990867,7.947031963470319,0.13506849315066227,35.32,-83.17,26.0,6.2,28.0,2.2,27.0,18.0,63.8,TRUE,51703,MH697575
Adaia,18353,271.0,Monroe County,2017.0,7.795543366632565,Not applicable,168.2942922374429,5.228196347031964,0.2135342465753796,40.9046,-75.3863,38.0,9.1,41.0,3.3,40.0,26.0,56.1,FALSE,15840,MH834594
Adat,43210,6102.0,Franklin County,2016.0,7.79570026840369,"Stable, normal stage",171.3874429223744,6.369520547945205,0.2559452054794956,40.0075,-83.023,13.0,3.1,14.0,1.1,13.0,9.0,45.7,FALSE,45428,MF668266
Adelaide,35234,1772.0,Jefferson County,2018.0,7.799989594174307,,196.86780821917807,11.498744292237447,0.13854794520548586,33.543682000000004,-86.77963299999998,58.0,15.4,69.0,5.2,60.0,41.0,68.0,None,44104,MK977715
Adephagia,76203,,Denton County,2009.0,7.802522136377378,Rising stage,208.52066210045663,10.775228310502284,0.16802739726028745,33.211822,-97.148636,42.0,10.0,45.0,3.6,44.0,29.0,66.6,TRUE,59646,JF704105
Adgers,29415,,Charleston County,2016.0,7.800482654561818,,199.05627853881282,15.504337899543385,0.08495890410960122,32.776097,-79.925374,44.0,10.5,47.0,3.8,46.0,30.0,59.0,FALSE,76008,MG757152
Ading,19141,17301.0,Philadelphia County,2016.0,7.793342777332058,"Stable, low stage",178.07477168949768,7.106735159817353,0.14227397260271732,40.037778,-75.149167,67.0,19.7,87.0,6.1,69.0,48.0,64.6,FALSE,157399,MK359347
Adjutor,15260,,Allegheny County,2004.0,7.450490797546013,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444259,-79.95320799999998,35.0,8.4,37.0,3.0,37.0,24.0,59.9,FALSE,64511,EU676000
Adlitam,12550,1568.0,Orange County,2016.0,7.784724711945782,"Stable, low stage",166.26986301369863,5.754566210045662,0.2304383561643113,41.51,-74.01,8.0,1.9,8.0,0.7,8.0,5.0,64.7,FALSE,155007,MK450427
Adnama,40207,2559.0,Jefferson County,2014.0,7.7847676063492095,"Stable, normal stage",176.84326484018266,8.77431506849315,0.16509589041092906,38.281667,-85.700389,52.0,12.5,57.0,4.6,54.0,36.0,62.9,TRUE,75208,MH371112
Adolin,15260,,Allegheny County,2019.0,7.782915793805815,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.445,-79.955,35.0,8.4,37.0,3.0,37.0,24.0,65.9,TRUE,43022,MN813676
Adonis,31061,185.0,Baldwin County,2016.0,7.73823534924372,,199.9131278538813,11.967557077625578,0.13375342465751472,33.078706,-83.216461,41.0,9.8,44.0,3.6,43.0,28.0,66.7,TRUE,60031,MH001453
Adora,15010,568.0,Beaver County,2017.0,7.7407396036485565,"Stable, normal stage",165.30433789954338,5.437214611872146,0.2663561643835937,40.78621500000001,-80.33044100000002,31.0,7.4,33.0,2.7,32.0,21.0,65.7,TRUE,51827,MK061406
Adriana,,,,,,,169.36986301369862,5.388698630136986,0.2720000000000412,41.3807,-83.641,30.0,7.2,32.0,2.6,31.0,21.0,66.4,FALSE,69122,
Adumb2043,80922,4448.0,El Paso County,2019.0,7.746804805395008,Not applicable,210.06347031963472,-2.189406392694065,0.25564383561647536,38.89966,-104.69988,15.0,3.6,16.0,1.3,15.0,10.0,67.0,TRUE,43100,
Aelin,,,,,,,161.6349315068493,0.4272831050228311,0.3260273972602788,46.4504,-95.9816,25.0,6.0,27.0,2.2,26.0,17.0,66.5,FALSE,68702,
Aeneas,84606,2853.0,Utah County,2011.0,7.771421832759253,,195.16518264840184,-1.4984132420091318,0.3083835616438892,40.244701,-111.650247,39.0,9.3,42.0,3.4,41.0,27.0,63.6,TRUE,53684,JQ809703
Aesir,,,,,,,177.46598173515983,6.089155251141553,0.2780547945205721,40.609722,-89.111389,28.0,6.7,30.0,2.4,29.0,19.0,63.6,FALSE,56285,MT684592
Affeca,15213,14474.0,Allegheny County,2017.0,7.770361988619722,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.443889,-79.955556,35.0,8.4,37.0,3.0,37.0,24.0,67.5,FALSE,59156,MH976506
Agape74,49423,580.0,Ottawa County,2014.0,7.756318939660572,"Stable, high stage",166.8412100456621,5.32468036529679,0.2966849315068809,42.786111,-86.101667,26.0,6.2,28.0,2.2,27.0,18.0,63.4,TRUE,53198,
Agatha,15213,14474.0,Allegheny County,2017.0,7.7555083575247235,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.44694000000001,-79.95167,35.0,8.4,37.0,3.0,37.0,24.0,60.2,FALSE,46543,MK875795
AgentM,90024-2704,,Los Angeles County,2014.0,7.756254867038096,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.06,-118.45,42.0,10.0,45.0,3.6,44.0,29.0,60.9,TRUE,50503,MG099934
Aggie,27411,,Guilford County,2016.0,7.751165811089067,,188.952397260274,8.9513698630137,0.1366301369862883,36.079112,-79.77063299999998,38.0,9.1,41.0,3.3,40.0,26.0,66.5,TRUE,44333,MH697576
Aglet,02918,,,2012.0,7.746856972367669,"Stable, normal stage",170.22454337899543,5.75115296803653,0.19347945205478886,41.843542,-71.43571999999998,50.0,12.0,54.0,4.4,53.0,35.0,64.1,TRUE,50866,KX507362
AgronaGT15,04106,2061.0,Cumberland County,2015.0,7.736494385028656,Not applicable,162.80867579908673,5.131849315068493,0.18276712328763828,43.647,-70.2283,50.0,12.0,54.0,4.4,53.0,35.0,64.2,TRUE,48850,MN585984
Ailee,15213,14474.0,Allegheny County,2017.0,7.7359316523814945,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.44560300000001,-79.960464,35.0,8.4,37.0,3.0,37.0,24.0,67.5,FALSE,58474,MH976507
Airmid,79932,1750.0,El Paso County,2010.0,7.739098819941289,Not applicable,250.2574200913242,1.5787671232876712,0.20928767123290493,31.869302,-106.61006100000002,46.0,11.0,49.0,4.0,48.0,32.0,60.0,TRUE,51241,JN083853
Ajay,92880,2380.0,Riverside County,2018.0,7.739657332471161,"Stable, low stage",230.6067351598174,4.384817351598174,0.16983561643837028,33.9582,-117.573698,46.0,11.0,49.0,4.0,48.0,32.0,63.6,TRUE,49516,MN062710
Akhila,11030,2691.0,Nassau County,2019.0,7.737248445962187,Not applicable,173.71095890410962,7.403082191780823,0.18046575342461632,40.7973,-73.694939,45.0,10.8,48.0,3.9,47.0,31.0,62.1,TRUE,56251,
Akoma,15260,,Allegheny County,2010.0,7.73660727886649,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4443,-79.9532,35.0,8.4,37.0,3.0,37.0,24.0,67.5,FALSE,68711,JN699006
Akoni,33647,1624.0,Hillsborough County,2017.0,7.700818521492407,,214.69429223744288,17.6513698630137,0.1339178082191552,28.124411,-82.368309,24.0,5.7,25.0,2.1,25.0,16.0,60.1,None,54307,MK757449
AlainaMarie,49507,6427.0,Kent County,2016.0,7.701427744796965,"Stable, low stage",165.81484018264842,3.9256849315068494,0.3191506849315407,42.916072,-85.64445400000002,26.0,6.2,28.0,2.2,27.0,18.0,51.3,FALSE,61315,
Alakazam,32514,1917.0,Escambia County,2018.0,7.675750165098162,,206.77020547945202,15.432534246575342,0.1351780821917743,30.549139,-87.218586,25.0,6.0,27.0,2.2,26.0,17.0,64.4,FALSE,41269,MT024862
AlanGrant,15260,,Allegheny County,2014.0,7.674720469581898,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.441,-79.95,35.0,8.4,37.0,3.0,37.0,24.0,68.9,FALSE,72109,KR080200
Alatin,54016,442.0,Saint Croix County,2014.0,7.696214569294332,,164.7658675799087,2.3207762557077625,0.28578082191776977,44.984444,-92.754444,21.0,5.0,22.0,1.8,22.0,14.0,58.7,TRUE,46673,MF324905
Albee,11701,5683.0,Suffolk County,2014.0,7.693956439432402,,170.27922374429227,8.182762557077625,0.10098630136987163,40.661017,-73.40118299999997,45.0,10.8,48.0,3.9,47.0,31.0,63.9,TRUE,51372,KX817175
Albright,28274,,Mecklenburg County,2019.0,7.691936099355794,,195.1027397260274,9.98607305936073,0.12728767123286594,35.1895,-80.8324,46.0,11.0,49.0,4.0,48.0,32.0,66.3,FALSE,40883,
Aledel,01060,1400.0,Hampshire County,2017.0,7.691243162330272,Not applicable,165.00262557077625,4.547716894977169,0.2734246575342758,42.318583,-72.640174,38.0,9.1,41.0,3.3,40.0,26.0,61.6,FALSE,43739,MK112526
Alex44,50012,5333.0,Story County,2018.0,7.6916492533717005,,173.34520547945206,3.9667922374429256,0.2451780821918307,42.0244,-93.6506,17.0,4.0,18.0,1.4,18.0,11.0,59.9,None,54396,MK894435
AlexAdler,15601,690.0,Westmoreland County,2017.0,7.691423509937175,"Stable, normal stage",166.53344748858447,5.713356164383563,0.261835616438399,40.2663,-79.57087,36.0,8.6,38.0,3.1,38.0,25.0,63.4,FALSE,41834,MG962360
Alexphander,90095,8.0,Los Angeles County,2016.0,7.691395213736997,Not applicable,231.3809360730594,7.317465753424657,0.10972602739727212,34.075071,-118.450961,42.0,10.0,45.0,3.6,44.0,29.0,61.2,TRUE,57734,MG962361
Ali17,27411,,Guilford County,2017.0,7.689103365417442,,188.952397260274,8.9513698630137,0.1366301369862883,36.079167,-79.771389,38.0,9.1,41.0,3.3,40.0,26.0,68.4,FALSE,58301,MH669000
Alice,76008,184.0,Parker County,2009.0,7.696242764969601,,212.04280821917808,10.566438356164383,0.15742465753425885,32.688207,-97.648082,38.0,9.1,41.0,3.3,40.0,26.0,64.7,FALSE,153401,JF704092
Alleb,68527,26.0,Lancaster County,2017.0,7.717946167599658,"Stable, normal stage",182.00924657534247,5.0006849315068465,0.2843287671233252,40.807982,-96.595328,21.0,5.0,22.0,1.8,22.0,14.0,64.5,FALSE,62684,MK376963
AlleyCat,37186,87.0,Sumner County,2015.0,7.718479552184262,,182.38219178082198,10.054680365296806,0.15539726027397874,36.5982,-86.26556,44.0,10.5,47.0,3.8,46.0,30.0,65.3,TRUE,62112,MF185717
AloeVera,33614,4751.0,Hillsborough County,2019.0,7.707143678556763,,218.94075342465754,17.80079908675799,0.14136986301370466,28.0107,-82.5005,24.0,5.7,25.0,2.1,25.0,16.0,60.0,None,54521,
Alpacados,15213,14474.0,Allegheny County,2014.0,7.706157603507258,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.442222,-79.956389,35.0,8.4,37.0,3.0,37.0,24.0,58.9,TRUE,46493,MH271291
Alsaber,76210,2463.0,Denton County,2016.0,7.712992756732893,"Stable, normal stage",207.80901826484018,10.86107305936073,0.16652054794521928,33.174620000000004,-97.10656,42.0,10.0,45.0,3.6,44.0,29.0,65.9,TRUE,48803,MG298964
Alsfro,07003,8947.0,Essex County,2012.0,7.706603742766815,,171.88618721461188,7.031621004566211,0.18523287671231667,40.792033,-74.205617,42.0,10.0,45.0,3.6,44.0,29.0,63.6,TRUE,52136,KJ174156
AltPhacts,90095,8.0,Los Angeles County,2017.0,7.706760015109737,,226.7365296803653,8.049885844748859,0.13852054794521435,34.066,-118.448,42.0,10.0,45.0,3.6,44.0,29.0,66.5,FALSE,68056,MG962362
Altwerkus,21211,6225.0,,2013.0,7.706760015109737,Falling stage,177.81438356164384,7.5454337899543376,0.1645479452054667,39.331256,-76.620347,34.0,8.1,36.0,2.9,36.0,23.0,66.5,FALSE,68179,MK112527
Alvin,15213,14474.0,Allegheny County,2014.0,7.705868027436671,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.447047,-79.956118,35.0,8.4,37.0,3.0,37.0,24.0,63.5,TRUE,49577,KP027205
Alvy,92093-0068,,San Diego County,2016.0,7.71368939944913,Not applicable,226.3700913242009,10.005479452054798,0.135616438356161,32.879238,-117.23535,48.0,11.5,51.0,4.2,50.0,33.0,67.5,TRUE,53011,MN234208
Alyxandracam,73123,,Oklahoma County,2018.0,7.714340508866634,Rising stage,205.66038812785388,7.89497716894977,0.1989315068493268,35.51556,-97.663611,59.0,15.9,71.0,5.3,61.0,42.0,63.4,FALSE,41770,MN062713
Amataga,18042,1964.0,Northampton County,2017.0,7.714530903211242,"Stable, normal stage",169.95205479452054,6.534132420091324,0.1838082191780788,40.697085,-75.210983,42.0,10.0,45.0,3.6,44.0,29.0,64.7,FALSE,154553,MK359338
Amela,75034,1454.0,Collin County,2014.0,7.726031444958518,"Stable, normal stage",207.16815068493145,11.121038812785416,0.17397260273974582,33.140588,-96.832041,43.0,10.3,46.0,3.7,45.0,30.0,65.6,TRUE,49452,KT186228
Amelia,15213,14474.0,Allegheny County,2017.0,7.725826848473227,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446667,-79.954167,35.0,8.4,37.0,3.0,37.0,24.0,66.6,TRUE,38128,MN234214
Amelie,63112,6157.0,,2012.0,7.726309689508582,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.647778,-90.299722,38.0,9.1,41.0,3.3,40.0,26.0,67.1,TRUE,56439,KX808132
Amethyst,76203,,Denton County,2016.0,7.731546919453268,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.2125,-97.14722,42.0,10.0,45.0,3.6,44.0,29.0,67.2,TRUE,49372,MF766044
Amgine,49091,228.0,Saint Joseph County,2016.0,7.731907580377996,,167.5513698630137,5.074771689497717,0.31841095890414,41.845976,-85.660045,8.0,1.9,8.0,0.7,8.0,5.0,66.4,TRUE,62236,MF324915
Amigo,77379,2807.0,Harris County,2013.0,7.734925355561693,"Stable, normal stage",201.5087899543379,15.3087899543379,0.1511506849315121,30.023958,-95.563788,34.0,8.1,36.0,2.9,36.0,23.0,52.9,FALSE,59173,KU160638
Aminay,04401,448.0,Penobscot County,2017.0,7.733418938086115,,159.50125570776257,3.0409817351598174,0.3241369863013749,44.8368,-68.7457,25.0,6.0,27.0,2.2,26.0,17.0,67.8,TRUE,60430,MH509442
Amochick,75442,84.0,Collin County,2017.0,7.7460820621702675,"Stable, normal stage",206.08310502283103,11.54417808219178,0.1599726027397365,33.171,-96.3627,37.0,8.8,39.0,3.2,39.0,25.0,67.4,TRUE,54145,MH697577
Amohnition,23185,828.0,James City County,2015.0,7.7402993031681815,,183.7318493150685,9.803995433789954,0.10019178082193766,37.226173,-76.738815,57.0,14.9,67.0,5.1,59.0,40.0,67.2,TRUE,61761,MF140398
Amore2,,,,,,,166.61826484018266,6.101712328767122,0.21501369863012293,40.441502,-80.002022,35.0,8.4,37.0,3.0,37.0,24.0,56.6,FALSE,73842,
AnClar,33965-6565,,Lee County,2018.0,7.728746319468634,,218.46917808219175,18.86872146118721,0.14701369863014613,26.460015,-81.780142,19.0,4.5,20.0,1.6,20.0,13.0,69.8,FALSE,61856,MN908693
Anakin,01609,5870.0,Worcester County,2018.0,7.737951680096788,Not applicable,170.49326484018266,4.555388127853882,0.2352602739725997,42.276389,-71.807222,46.0,11.0,49.0,4.0,48.0,32.0,63.8,FALSE,56665,MK801731
Anamika,15213,14474.0,Allegheny County,2016.0,7.737846433512278,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.44556,-79.96278000000002,35.0,8.4,37.0,3.0,37.0,24.0,59.2,FALSE,73851,MG099935
Anansi,19475,682.0,Chester County,2014.0,7.737844149468707,"Stable, normal stage",173.58219178082192,7.039611872146119,0.22194520547949487,40.174754,-75.638035,55.0,14.0,63.0,4.9,57.0,39.0,53.0,FALSE,58848,KU160639
Anatole,90095,8.0,Los Angeles County,2015.0,7.7378011384901555,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.067337,-118.441291,42.0,10.0,45.0,3.6,44.0,29.0,64.4,TRUE,35284,KX620748
Anaya,,,Kent County,2009.0,7.7379978629818496,Not applicable,165.19406392694063,4.544634703196347,0.30394520547947024,42.933022,-85.587226,26.0,6.2,28.0,2.2,27.0,18.0,66.4,TRUE,60835,JF704106
AndPeggy,15601,690.0,Westmoreland County,2018.0,7.724769491923045,"Stable, normal stage",166.52557077625568,5.989497716894977,0.2572328767123889,40.2838,-79.5722,36.0,8.6,38.0,3.1,38.0,25.0,59.7,FALSE,44609,MN586036
Anderson,,,,,,,170.22454337899543,5.75115296803653,0.19347945205478886,41.8437,-71.4386,50.0,12.0,54.0,4.4,53.0,35.0,66.5,FALSE,68726,
Andies,75602,475.0,Gregg County,2015.0,7.724953621356683,Not applicable,199.6557077625571,11.948515981735161,0.13501369863011378,32.467869,-94.725426,33.0,7.9,35.0,2.9,34.0,23.0,66.2,TRUE,43779,MG099936
Andrew,15222,4055.0,Allegheny County,2017.0,7.724618729232714,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.445472,-79.998708,35.0,8.4,37.0,3.0,37.0,24.0,65.5,TRUE,38802,MH834595
Andromedas,28723,101.0,Jackson County,2017.0,7.722975181684035,,190.76586757990867,7.947031963470319,0.13506849315066227,35.3167,-83.1648,26.0,6.2,28.0,2.2,27.0,18.0,62.0,FALSE,40494,MH590606
Aneem,07801,2591.0,Morris County,2018.0,7.715705486138043,,169.8912100456621,6.217237442922374,0.2446027397260521,40.9,-74.55,42.0,10.0,45.0,3.6,44.0,29.0,63.7,TRUE,52595,MN703405
Angelica,63110,2732.0,,2008.0,7.716493173361754,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.640283,-90.29017,38.0,9.1,41.0,3.3,40.0,26.0,66.4,TRUE,59598,HM152764
Angelicage,15213,14474.0,Allegheny County,2017.0,7.716377782747183,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4419,-79.9575,35.0,8.4,37.0,3.0,37.0,24.0,67.4,FALSE,59215,MH651166
Angelique,15213,14474.0,Allegheny County,2016.0,7.716369129916476,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4439,-79.9575,35.0,8.4,37.0,3.0,37.0,24.0,66.6,TRUE,50970,MH651167
Anglerfish,04106,2061.0,Cumberland County,2011.0,7.715845786879965,Not applicable,162.80867579908673,5.131849315068493,0.18276712328763828,43.645983,-70.227333,50.0,12.0,54.0,4.4,53.0,35.0,63.5,TRUE,52380,MN119379
Animus,75287,8754.0,Denton County,2018.0,7.88302725057793,"Stable, normal stage",210.16130136986303,10.997260273972604,0.1740547945205609,33.001746000000004,-96.864174,43.0,10.3,46.0,3.7,45.0,30.0,67.0,TRUE,50793,MN234192
Anjali,15213,14474.0,Allegheny County,2017.0,7.882333719725929,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.447441,-79.955997,35.0,8.4,37.0,3.0,37.0,24.0,59.4,FALSE,19679,MK016490
AnnaL29,,,Utah County,2009.0,7.884019950360996,,196.93698630136987,-1.7906392694063926,0.38446575342460776,40.340561,-111.603007,39.0,9.3,42.0,3.4,41.0,27.0,64.4,TRUE,53253,KF024721
AnnaLie,28012,733.0,Gaston County,2019.0,7.882948899995665,,196.26780821917808,9.912214611872146,0.13073972602738054,35.2644,-81.0159,46.0,11.0,49.0,4.0,48.0,32.0,66.6,FALSE,41665,
AnnaSerena,20740,3598.0,Prince George's County,2016.0,7.869958781196487,,179.2823059360731,7.501849315068495,0.16016438356162874,38.979347,-76.941565,44.0,10.5,47.0,3.8,46.0,30.0,63.8,FALSE,56707,MH271292
Annadreamy,76203,,Denton County,2016.0,7.8814545380783585,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.2075,-97.1526,42.0,10.0,45.0,3.6,44.0,29.0,47.6,FALSE,125726,MH536811
Annihilator,63105,6647.0,,2011.0,7.870322775921018,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.6467,-90.2958,38.0,9.1,41.0,3.3,40.0,26.0,66.6,TRUE,41893,KT365399
Annyong,06001,784.0,Hartford County,2015.0,7.869642297258055,"Stable, normal stage",170.22956621004568,5.097888127853883,0.21915068493153028,41.788333,-72.844444,31.0,7.4,33.0,2.7,32.0,21.0,63.9,TRUE,51418,MH051247
Anselm,55811,403.0,Saint Louis County,2016.0,7.863858488784661,"Stable, normal stage",158.26780821917808,0.9578767123287673,0.3918356164383128,46.813666,-92.106363,17.0,4.0,18.0,1.4,18.0,11.0,63.5,TRUE,53545,MF919490
Antares,19151,12494.0,Philadelphia County,2018.0,7.861746039123374,Not applicable,174.19646118721462,7.453995433789954,0.14523287671230675,39.9566,-75.1899,67.0,19.7,87.0,6.1,69.0,48.0,68.9,FALSE,53362,MN444877
Antoinette,43950,191.0,Belmont County,2016.0,7.8617787350846,"Stable, normal stage",166.51917808219181,6.304337899543379,0.2380273972602953,40.077045,-80.925465,34.0,8.1,36.0,2.9,36.0,23.0,63.4,FALSE,41858,MH045565
Antonia,57313,6.0,Douglas County,,,,176.68002283105022,2.227625570776256,0.34027397260274084,43.3186,-98.3467,36.0,8.6,38.0,3.1,38.0,25.0,66.5,FALSE,68573,MK279910
Antonio,15213,14474.0,Allegheny County,2017.0,7.861236260289267,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4432,-79.9597,35.0,8.4,37.0,3.0,37.0,24.0,66.7,TRUE,50337,MK814755
Anubis,84601,2252.0,Utah County,2010.0,7.864874467773161,,195.16518264840184,-1.4984132420091318,0.3083835616438892,40.252144,-111.668972,39.0,9.3,42.0,3.4,41.0,27.0,64.0,TRUE,50854,KF279418
Apex,10901,1304.0,Rockland County,2018.0,7.856148685163528,,172.11335616438353,6.0156392694063925,0.20939726027397865,41.107,-74.141,23.0,5.5,24.0,2.0,24.0,16.0,68.9,FALSE,71244,MN428050
Aphelion,23186,,,2016.0,7.844949589554207,,184.5970319634704,9.672374429223744,0.1367123287671037,37.270645,-76.713451,57.0,14.9,67.0,5.1,59.0,40.0,61.9,TRUE,93276,MK376959
